home_team,home_acc,away_team,away_acc
Ath Bilbao,0.4,Ath Bilbao,0.47058823529411764
Ath Madrid,0.6153846153846154,Ath Madrid,0.2777777777777778
Barcelona,0.8666666666666667,Barcelona,0.3888888888888889
Betis,0.2222222222222222,Betis,0.4
Espanol,0.2777777777777778,Espanol,0.42857142857142855
Getafe,0.3125,Getafe,0.5
Granada,0.5625,Granada,0.6111111111111112
Levante,0.4117647058823529,Levante,0.4666666666666667
Malaga,0.6666666666666666,Malaga,0.4666666666666667
Mallorca,0.3333333333333333,Mallorca,0.23529411764705882
Osasuna,0.47058823529411764,Osasuna,0.4375
Real Madrid,0.8333333333333334,Real Madrid,0.7333333333333333
Santander,0.058823529411764705,Santander,0.4
Sevilla,0.4666666666666667,Sevilla,0.4444444444444444
Sociedad,0.3125,Sociedad,0.625
Sp Gijon,0.4666666666666667,Sp Gijon,0.6111111111111112
Valencia,0.6,Valencia,0.4117647058823529
Vallecano,0.6111111111111112,Vallecano,0.42857142857142855
Villarreal,0.5294117647058824,Villarreal,0.6
Zaragoza,0.5333333333333333,Zaragoza,0.5882352941176471
