bin,n,acc,conf,weight,gap,ECE,MCE
"(0.0, 0.1]",0,,,0.0,,0.1453813530934633,0.241949703426443
"(0.1, 0.2]",0,,,0.0,,0.1453813530934633,0.241949703426443
"(0.2, 0.3]",0,,,0.0,,0.1453813530934633,0.241949703426443
"(0.3, 0.4]",15,0.5333333333333333,0.37723339077023427,0.046296296296296294,0.15609994256309906,0.1453813530934633,0.241949703426443
"(0.4, 0.5]",78,0.47435897435897434,0.45691876908246737,0.24074074074074073,0.01744020527650697,0.1453813530934633,0.241949703426443
"(0.5, 0.6]",89,0.30337078651685395,0.545320489943297,0.27469135802469136,0.241949703426443,0.1453813530934633,0.241949703426443
"(0.6, 0.7]",54,0.5,0.649167477293034,0.16666666666666666,0.14916747729303403,0.1453813530934633,0.241949703426443
"(0.7, 0.8]",52,0.5961538461538461,0.7380370070357242,0.16049382716049382,0.14188316088187802,0.1453813530934633,0.241949703426443
"(0.8, 0.9]",32,0.65625,0.8357803555884274,0.09876543209876543,0.17953035558842745,0.1453813530934633,0.241949703426443
"(0.9, 1.0]",4,0.75,0.9225650322008732,0.012345679012345678,0.17256503220087316,0.1453813530934633,0.241949703426443
